,PID,QUALITY digital, YEAR BUILT,MAIN AND UPPER LIVING AREA,PARCEL SIZE ACRES,"('1.5 FINISHED',)","('2 STORY',)","('BI-LEVEL (SPLIT ENTRY)',)","('RANCH',)","('SPLIT',)","('AMBOY',)","('BATTLE GROUND',)","('BRUSH PRAIRIE',)","('CAMAS',)","('LA CENTER',)","('RIDGEFIELD',)","('VANCOUVER',)","('WASHOUGAL',)","('WOODLAND',)","('YACOLT',)",ORIGINAL SALE AMOUNT
138,256983000.0,3.0,1978.0,1480.0,4.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,400000
157,253146000.0,2.0,1968.0,1170.0,4.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,329000
158,266803000.0,2.0,1980.0,1344.0,1.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,443000
159,261326000.0,2.5,1951.0,1496.0,2.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,437508
163,264620000.0,2.5,2015.0,1184.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,489000
165,262402000.0,2.75,1984.0,1509.0,5.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,487000
174,267029000.0,3.0,1978.0,1684.0,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396300
216,267089000.0,3.0,1977.0,1152.0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,240000
217,260227000.0,3.0,1978.0,1440.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,475000
218,257007000.0,3.0,1987.0,1166.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,357500
219,263484000.0,3.0,1989.0,1418.0,4.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,490000
220,259411000.0,3.0,1989.0,1332.0,5.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,465000
221,264132000.0,3.0,1991.0,784.0,2.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,430000
222,262628000.0,3.0,1991.0,1680.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,410000
223,261736000.0,3.0,1991.0,1512.0,5.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,364000
224,262598000.0,3.0,1992.0,1794.0,10.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,309472
225,266609005.0,3.0,1993.0,1612.0,1.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,346000
229,262180000.0,3.0,2006.0,1736.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,499900
230,264835000.0,4.0,1993.0,1040.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,250000
231,265714000.0,4.0,1999.0,1747.0,8.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,475000
266,255225000.0,2.5,1972.0,1404.0,2.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,385000
267,254779000.0,2.0,1951.0,1224.0,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,284500
269,252242000.0,3.0,1975.0,1894.0,1.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,475000
278,254576000.0,3.0,1988.0,1620.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,480000
279,254429000.0,3.0,2018.0,1296.0,2.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,415000
281,253991000.0,4.0,1995.0,1848.0,5.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,483000
282,252240000.0,4.0,1996.0,2593.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,445000
310,217165000.0,2.0,1955.0,1488.0,1.55,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475000
328,213314000.0,3.0,1982.0,1152.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370000
354,233175005.0,1.75,1955.0,896.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399000
359,226091000.0,3.0,1970.0,1618.0,1.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395000
360,223903000.0,3.0,1974.0,880.0,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375000
361,225890000.0,3.0,1975.0,1364.0,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000
372,230713000.0,3.0,1979.0,1848.0,5.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255000
373,223908005.0,3.0,1994.0,2076.0,1.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420000
375,221503000.0,4.0,1979.0,1848.0,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
466,205201000.0,2.0,1971.0,1000.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000
467,206488000.0,2.0,2011.0,1048.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425000
470,206861010.0,2.75,1991.0,1458.0,1.02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000
476,205587000.0,3.0,1977.0,1533.0,1.54,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489900
477,206910000.0,3.0,1980.0,1408.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423800
497,204521000.0,4.0,1998.0,1782.0,0.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000
500,235175000.0,1.0,1920.0,1223.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000
